DATETIME,value
Jun 2003,2.1
Jul 2003,2.1
Aug 2003,2.2
Sep 2003,2.3
Oct 2003,2.0
Nov 2003,1.8
Dec 2003,1.9
Jan 2004,1.9
Feb 2004,1.7
Mar 2004,1.7
Apr 2004,2.3
May 2004,3.1
Jun 2004,3.3
Jul 2004,3.0
Aug 2004,2.7
Sep 2004,2.5
Oct 2004,3.2
Nov 2004,3.5
Dec 2004,3.3
Jan 2005,3.0
Feb 2005,3.0
Mar 2005,3.1
Apr 2005,3.5
May 2005,2.8
Jun 2005,2.5
Jul 2005,3.2
Aug 2005,3.6
Sep 2005,4.7
Oct 2005,4.3
Nov 2005,3.5
Dec 2005,3.4
Jan 2006,4.0
Feb 2006,3.6
Mar 2006,3.4
Apr 2006,3.5
May 2006,4.2
Jun 2006,4.3
Jul 2006,4.1
Aug 2006,3.8
Sep 2006,2.1
Oct 2006,1.3
Nov 2006,2.0
Dec 2006,2.5
Jan 2007,2.1
Feb 2007,2.4
Mar 2007,2.8
Apr 2007,2.6
May 2007,2.7
Jun 2007,2.7
Jul 2007,2.4
Aug 2007,2.0
Sep 2007,2.8
Oct 2007,3.5
Nov 2007,4.3
Dec 2007,4.1
Jan 2008,4.3
Feb 2008,4.0
Mar 2008,4.0
Apr 2008,3.9
May 2008,4.2
Jun 2008,5.0
Jul 2008,5.6
Aug 2008,5.4
Sep 2008,4.9
Oct 2008,3.7
Nov 2008,1.1
Dec 2008,0.1
Jan 2009,0.0
Feb 2009,0.2
Mar 2009,-0.4
Apr 2009,-0.7
May 2009,-1.3
Jun 2009,-1.4
Jul 2009,-2.1
Aug 2009,-1.5
Sep 2009,-1.3
Oct 2009,-0.2
Nov 2009,1.8
Dec 2009,2.7
Jan 2010,2.6
Feb 2010,2.1
Mar 2010,2.3
Apr 2010,2.2
May 2010,2.0
Jun 2010,1.1
Jul 2010,1.2
Aug 2010,1.1
Sep 2010,1.1
Oct 2010,1.2
Nov 2010,1.1
Dec 2010,1.5
Jan 2011,1.6
Feb 2011,2.1
Mar 2011,2.7
Apr 2011,3.2
May 2011,3.6
Jun 2011,3.6
Jul 2011,3.6
Aug 2011,3.8
Sep 2011,3.9
Oct 2011,3.5
Nov 2011,3.4
Dec 2011,3.0
Jan 2012,2.9
Feb 2012,2.9
Mar 2012,2.7
Apr 2012,2.3
May 2012,1.7
Jun 2012,1.7
Jul 2012,1.4
Aug 2012,1.7
Sep 2012,2.0
Oct 2012,2.2
Nov 2012,1.8
Dec 2012,1.7
Jan 2013,1.6
Feb 2013,2.0
Mar 2013,1.5
Apr 2013,1.1
May 2013,1.4
Jun 2013,1.8
Jul 2013,2.0
Aug 2013,1.5
Sep 2013,1.2
Oct 2013,1.0
Nov 2013,1.2
Dec 2013,1.5
Jan 2014,1.6
Feb 2014,1.1
Mar 2014,1.5
Apr 2014,2.0
May 2014,2.1
Jun 2014,2.1
Jul 2014,2.0
Aug 2014,1.7
Sep 2014,1.7
Oct 2014,1.7
Nov 2014,1.3
Dec 2014,0.8
Jan 2015,-0.1
Feb 2015,0.0
Mar 2015,-0.1
Apr 2015,-0.2
May 2015,0.0
Jun 2015,0.1
Jul 2015,0.2
Aug 2015,0.2
Sep 2015,0.0
Oct 2015,0.2
Nov 2015,0.5
Dec 2015,0.7
Jan 2016,1.4
Feb 2016,1.0
Mar 2016,0.9
Apr 2016,1.1
May 2016,1.0
Jun 2016,1.0
Jul 2016,0.8
Aug 2016,1.1
Sep 2016,1.5
Oct 2016,1.6
Nov 2016,1.7
Dec 2016,2.1
Jan 2017,2.5
Feb 2017,2.7
Mar 2017,2.4
Apr 2017,2.2
May 2017,1.9
Jun 2017,1.6
Jul 2017,1.7
Aug 2017,1.9
Sep 2017,2.2
Oct 2017,2.0
Nov 2017,2.2
Dec 2017,2.1
Jan 2018,2.1
Feb 2018,2.2
Mar 2018,2.4
Apr 2018,2.5
May 2018,2.8
Jun 2018,2.9
Jul 2018,2.9
Aug 2018,2.7
Sep 2018,2.3
Oct 2018,2.5
Nov 2018,2.2
Dec 2018,1.9
Jan 2019,1.6
Feb 2019,1.5
Mar 2019,1.9
Apr 2019,2.0
May 2019,1.8
Jun 2019,1.6
Jul 2019,1.8
Aug 2019,1.7
Sep 2019,1.7
Oct 2019,1.8
Nov 2019,2.1
Dec 2019,2.3
Jan 2020,2.5
Feb 2020,2.3
Mar 2020,1.5
Apr 2020,0.3
May 2020,0.1
Jun 2020,0.6
Jul 2020,1.0
Aug 2020,1.3
Sep 2020,1.4
Oct 2020,1.2
Nov 2020,1.2
Dec 2020,1.4
Jan 2021,1.4
Feb 2021,1.7
Mar 2021,2.6
Apr 2021,4.2
May 2021,5.0
Jun 2021,5.4
Jul 2021,5.4
Aug 2021,5.3
Sep 2021,5.4
Oct 2021,6.2
Nov 2021,6.8
Dec 2021,7.0
Jan 2022,7.5
Feb 2022,7.9
Mar 2022,8.5
Apr 2022,8.3
May 2022,8.6
Jun 2022,9.1
Jul 2022,8.5
Aug 2022,8.3
Sep 2022,8.2
Oct 2022,7.7
Nov 2022,7.1
Dec 2022,6.5
Jan 2023,6.4
Feb 2023,6.0
Mar 2023,5.0
Apr 2023,4.9
May 2023,4.0
Jun 2023,3.0
