DATE_TIME,current_contract,next_contract,carry_contract
1983-07-14 00:00:00,19830900,19831200,19830700
1983-09-30 00:00:00,19831200,19840100,19830900
1983-11-14 00:00:00,19840100,19840300,19831200
1984-01-12 00:00:00,19840300,19840500,19840100
1984-03-13 00:00:00,19840500,19840700,19840300
1984-05-14 00:00:00,19840700,19840900,19840500
1984-07-16 00:00:00,19840900,19841200,19840700
1984-09-26 00:00:00,19841200,19850100,19840900
1984-11-13 00:00:00,19850100,19850300,19841200
1985-01-11 00:00:00,19850300,19850500,19850100
1985-03-13 00:00:00,19850500,19850700,19850300
1985-05-14 00:00:00,19850700,19850900,19850500
1985-07-15 00:00:00,19850900,19851200,19850700
1985-09-26 00:00:00,19851200,19860100,19850900
1985-11-13 00:00:00,19860100,19860300,19851200
1986-01-13 00:00:00,19860300,19860500,19860100
1986-03-13 00:00:00,19860500,19860700,19860300
1986-05-13 00:00:00,19860700,19860900,19860500
1986-07-15 00:00:00,19860900,19861200,19860700
1986-09-29 00:00:00,19861200,19870100,19860900
1986-11-13 00:00:00,19870100,19870300,19861200
1987-01-12 00:00:00,19870300,19870500,19870100
1987-03-13 00:00:00,19870500,19870700,19870300
1987-05-13 00:00:00,19870700,19870900,19870500
1987-07-14 00:00:00,19870900,19871200,19870700
1987-09-29 00:00:00,19871200,19880100,19870900
1987-11-13 00:00:00,19880100,19880300,19871200
1988-01-12 00:00:00,19880300,19880500,19880100
1988-03-14 00:00:00,19880500,19880700,19880300
1988-05-13 00:00:00,19880700,19880900,19880500
1988-07-14 00:00:00,19880900,19881200,19880700
1988-09-29 00:00:00,19881200,19890100,19880900
1988-11-14 00:00:00,19890100,19890300,19881200
1989-01-11 00:00:00,19890300,19890500,19890100
1989-03-14 00:00:00,19890500,19890700,19890300
1989-05-15 00:00:00,19890700,19890900,19890500
1989-07-14 00:00:00,19890900,19891200,19890700
1989-09-28 00:00:00,19891200,19900100,19890900
1989-11-14 00:00:00,19900100,19900300,19891200
1990-01-11 00:00:00,19900300,19900500,19900100
1990-03-13 00:00:00,19900500,19900700,19900300
1990-05-14 00:00:00,19900700,19900900,19900500
1990-07-16 00:00:00,19900900,19901200,19900700
1990-09-27 00:00:00,19901200,19910100,19900900
1990-11-13 00:00:00,19910100,19910300,19901200
1991-01-11 00:00:00,19910300,19910500,19910100
1991-03-13 00:00:00,19910500,19910700,19910300
1991-05-14 00:00:00,19910700,19910900,19910500
1991-07-15 00:00:00,19910900,19911200,19910700
1991-09-27 00:00:00,19911200,19920100,19910900
1991-11-13 00:00:00,19920100,19920300,19911200
1992-01-13 00:00:00,19920300,19920500,19920100
1992-03-13 00:00:00,19920500,19920700,19920300
1992-05-13 00:00:00,19920700,19920900,19920500
1992-07-14 00:00:00,19920900,19921200,19920700
1992-09-29 00:00:00,19921200,19930100,19920900
1992-11-13 00:00:00,19930100,19930300,19921200
1993-01-12 00:00:00,19930300,19930500,19930100
1993-03-15 00:00:00,19930500,19930700,19930300
1993-05-13 00:00:00,19930700,19930900,19930500
1993-07-14 00:00:00,19930900,19931200,19930700
1993-09-29 00:00:00,19931200,19940100,19930900
1993-11-15 00:00:00,19940100,19940300,19931200
1994-01-11 00:00:00,19940300,19940500,19940100
1994-03-14 00:00:00,19940500,19940700,19940300
1994-05-13 00:00:00,19940700,19940900,19940500
1994-07-14 00:00:00,19940900,19941200,19940700
1994-09-29 00:00:00,19941200,19950100,19940900
1994-11-14 00:00:00,19950100,19950300,19941200
1995-01-11 00:00:00,19950300,19950500,19950100
1995-03-14 00:00:00,19950500,19950700,19950300
1995-05-15 00:00:00,19950700,19950900,19950500
1995-07-14 00:00:00,19950900,19951200,19950700
1995-09-28 00:00:00,19951200,19960100,19950900
1995-11-14 00:00:00,19960100,19960300,19951200
1996-01-12 00:00:00,19960300,19960500,19960100
1996-03-13 00:00:00,19960500,19960700,19960300
1996-05-14 00:00:00,19960700,19960900,19960500
1996-07-15 00:00:00,19960900,19961200,19960700
1996-09-27 00:00:00,19961200,19970100,19960900
1996-11-13 00:00:00,19970100,19970300,19961200
1997-01-13 00:00:00,19970300,19970500,19970100
1997-03-13 00:00:00,19970500,19970700,19970300
1997-05-13 00:00:00,19970700,19970900,19970500
1997-07-15 00:00:00,19970900,19971200,19970700
1997-09-29 00:00:00,19971200,19980100,19970900
1997-11-13 00:00:00,19980100,19980300,19971200
1998-01-12 00:00:00,19980300,19980500,19980100
1998-03-13 00:00:00,19980500,19980700,19980300
1998-05-13 00:00:00,19980700,19980900,19980500
1998-07-14 00:00:00,19980900,19981200,19980700
1998-09-29 00:00:00,19981200,19990100,19980900
1998-11-13 00:00:00,19990100,19990300,19981200
1999-01-12 00:00:00,19990300,19990500,19990100
1999-03-15 00:00:00,19990500,19990700,19990300
1999-05-13 00:00:00,19990700,19990900,19990500
1999-07-14 00:00:00,19990900,19991200,19990700
1999-09-29 00:00:00,19991200,20000100,19990900
1999-11-15 00:00:00,20000100,20000300,19991200
2000-01-12 00:00:00,20000300,20000500,20000100
2000-03-14 00:00:00,20000500,20000700,20000300
2000-05-15 00:00:00,20000700,20000900,20000500
2000-07-14 00:00:00,20000900,20001200,20000700
2000-09-28 00:00:00,20001200,20010100,20000900
2000-11-14 00:00:00,20010100,20010300,20001200
2001-01-11 00:00:00,20010300,20010500,20010100
2001-03-13 00:00:00,20010500,20010700,20010300
2001-05-14 00:00:00,20010700,20010900,20010500
2001-07-16 00:00:00,20010900,20011200,20010700
2001-09-27 00:00:00,20011200,20020100,20010900
2001-11-13 00:00:00,20020100,20020300,20011200
2002-01-11 00:00:00,20020300,20020500,20020100
2002-03-13 00:00:00,20020500,20020700,20020300
2002-05-14 00:00:00,20020700,20020900,20020500
2002-07-15 00:00:00,20020900,20021200,20020700
2002-09-27 00:00:00,20021200,20030100,20020900
2002-11-13 00:00:00,20030100,20030300,20021200
2003-01-13 00:00:00,20030300,20030500,20030100
2003-03-13 00:00:00,20030500,20030700,20030300
2003-05-13 00:00:00,20030700,20030900,20030500
2003-07-14 00:00:00,20030900,20031200,20030700
2003-09-29 00:00:00,20031200,20040100,20030900
2003-11-13 00:00:00,20040100,20040300,20031200
2004-01-13 00:00:00,20040300,20040500,20040100
2004-03-15 00:00:00,20040500,20040700,20040300
2004-05-13 00:00:00,20040700,20040900,20040500
2004-07-14 00:00:00,20040900,20041200,20040700
2004-09-29 00:00:00,20041200,20050100,20040900
2004-11-15 00:00:00,20050100,20050300,20041200
2005-01-11 00:00:00,20050300,20050500,20050100
2005-03-14 00:00:00,20050500,20050700,20050300
2005-05-13 00:00:00,20050700,20050900,20050500
2005-07-14 00:00:00,20050900,20051200,20050700
2005-09-29 00:00:00,20051200,20060100,20050900
2005-11-14 00:00:00,20060100,20060300,20051200
2006-01-11 00:00:00,20060300,20060500,20060100
2006-03-14 00:00:00,20060500,20060700,20060300
2006-05-15 00:00:00,20060700,20060900,20060500
2006-07-14 00:00:00,20060900,20061200,20060700
2006-09-28 00:00:00,20061200,20070100,20060900
2006-11-14 00:00:00,20070100,20070300,20061200
2007-01-11 00:00:00,20070300,20070500,20070100
2007-03-13 00:00:00,20070500,20070700,20070300
2007-05-14 00:00:00,20070700,20070900,20070500
2007-07-16 00:00:00,20070900,20071200,20070700
2007-09-27 00:00:00,20071200,20080100,20070900
2007-11-13 00:00:00,20080100,20080300,20071200
2008-01-14 00:00:00,20080300,20080500,20080100
2008-03-13 00:00:00,20080500,20080700,20080300
2008-05-13 00:00:00,20080700,20080900,20080500
2008-07-15 00:00:00,20080900,20081200,20080700
2008-09-29 00:00:00,20081200,20090100,20080900
2008-11-13 00:00:00,20090100,20090300,20081200
2009-01-12 00:00:00,20090300,20090500,20090100
2009-03-13 00:00:00,20090500,20090700,20090300
2009-05-13 00:00:00,20090700,20090900,20090500
2009-07-14 00:00:00,20090900,20091200,20090700
2009-09-29 00:00:00,20091200,20100100,20090900
2009-11-13 00:00:00,20100100,20100300,20091200
2010-01-12 00:00:00,20100300,20100500,20100100
2010-03-15 00:00:00,20100500,20100700,20100300
2010-05-13 00:00:00,20100700,20100900,20100500
2010-07-14 00:00:00,20100900,20101200,20100700
2010-09-29 00:00:00,20101200,20110100,20100900
2010-11-15 00:00:00,20110100,20110300,20101200
2011-01-11 00:00:00,20110300,20110500,20110100
2011-03-14 00:00:00,20110500,20110700,20110300
2011-05-13 00:00:00,20110700,20110900,20110500
2011-07-14 00:00:00,20110900,20111200,20110700
2011-09-29 00:00:00,20111200,20120100,20110900
2011-11-14 00:00:00,20120100,20120300,20111200
2012-01-12 00:00:00,20120300,20120500,20120100
2012-03-13 00:00:00,20120500,20120700,20120300
2012-05-14 00:00:00,20120700,20120900,20120500
2012-07-16 00:00:00,20120900,20121200,20120700
2012-09-27 00:00:00,20121200,20130100,20120900
2012-11-13 00:00:00,20130100,20130300,20121200
2013-01-11 00:00:00,20130300,20130500,20130100
2013-03-13 00:00:00,20130500,20130700,20130300
2013-05-14 00:00:00,20130700,20130900,20130500
2013-07-15 00:00:00,20130900,20131200,20130700
2013-09-27 00:00:00,20131200,20140100,20130900
2013-11-13 00:00:00,20140100,20140300,20131200
2014-01-13 00:00:00,20140300,20140500,20140100
2014-03-13 00:00:00,20140500,20140700,20140300
2014-05-13 00:00:00,20140700,20140900,20140500
2014-07-15 00:00:00,20140900,20141200,20140700
2014-09-29 00:00:00,20141200,20150100,20140900
2014-11-13 00:00:00,20150100,20150300,20141200
2015-01-12 00:00:00,20150300,20150500,20150100
2015-03-13 00:00:00,20150500,20150700,20150300
2015-05-13 00:00:00,20150700,20150900,20150500
2015-07-14 00:00:00,20150900,20151200,20150700
2015-09-29 00:00:00,20151200,20160100,20150900
2015-11-13 00:00:00,20160100,20160300,20151200
2016-01-12 00:00:00,20160300,20160500,20160100
2016-03-14 00:00:00,20160500,20160700,20160300
2016-05-13 00:00:00,20160700,20160900,20160500
2016-07-14 00:00:00,20160900,20161200,20160700
2016-09-29 00:00:00,20161200,20170100,20160900
2016-11-14 00:00:00,20170100,20170300,20161200
2017-01-11 00:00:00,20170300,20170500,20170100
2017-03-14 00:00:00,20170500,20170700,20170300
2017-05-15 00:00:00,20170700,20170900,20170500
2017-07-14 00:00:00,20170900,20171200,20170700
2017-09-28 00:00:00,20171200,20180100,20170900
2017-11-14 00:00:00,20180100,20180300,20171200
2018-01-11 00:00:00,20180300,20180500,20180100
2018-03-13 00:00:00,20180500,20180700,20180300
2018-05-14 00:00:00,20180700,20180900,20180500
2018-07-16 00:00:00,20180900,20181200,20180700
2018-09-27 00:00:00,20181200,20190100,20180900
2018-11-13 00:00:00,20190100,20190300,20181200
2019-01-11 00:00:00,20190300,20190500,20190100
2019-03-13 00:00:00,20190500,20190700,20190300
2019-05-14 00:00:00,20190700,20190900,20190500
2019-07-15 00:00:00,20190900,20191200,20190700
2019-09-27 00:00:00,20191200,20200100,20190900
2019-11-13 00:00:00,20200100,20200300,20191200
2020-01-13 00:00:00,20200300,20200500,20200100
2020-03-13 00:00:00,20200500,20200700,20200300
2020-05-13 00:00:00,20200700,20200900,20200500
2020-07-14 00:00:00,20200900,20201200,20200700
2020-09-29 00:00:00,20201200,20210100,20200900
2020-11-13 00:00:00,20210100,20210300,20201200
2021-01-12 00:00:00,20210300,20210500,20210100
2021-03-15 00:00:00,20210500,20210700,20210300
2021-05-13 00:00:00,20210700,20210900,20210500
2021-07-14 00:00:00,20210900,20211200,20210700
2021-09-29 00:00:00,20211200,20220100,20210900
2021-11-15 00:00:00,20220100,20220300,20211200
2022-01-11 00:00:00,20220300,20220500,20220100
2022-03-14 00:00:00,20220500,20220700,20220300
2022-05-13 00:00:00,20220700,20220900,20220500
2022-06-30 20:00:02,20220900,20221200,20220700
2022-09-09 20:00:02,20221200,20230100,20220900
2022-11-16 19:00:02,20230100,20230300,20221200
2022-12-30 19:00:01,20230300,20230500,20230100
2023-02-27 20:00:02,20230500,20230700,20230300
2023-04-27 20:00:02,20230700,20230900,20230500
2023-06-28 20:00:02,20230900,20231200,20230700
2023-08-24 19:00:02,20231200,20240100,20230900
2023-11-10 20:00:02,20240100,20240300,20231200
2023-12-21 20:00:02,20240300,20240500,20240100
2024-02-27 19:00:02,20240500,20240700,20240300
2024-04-24 19:00:02,20240700,20240900,20240500
2024-06-24 19:00:02,20240900,20241200,20240700
2024-08-28 19:00:02,20241200,20250100,20240900
2024-09-26 20:00:00,20250100,20250300,20241200
